12190,1908,1,"-","autoballoon; balloon; automatic; Bayard; Clement; 'Bayard-Clement'; dirigible; 'Republique'; Zeppelin","Autoballon (L') 'Bayard-Clément,' le dirigeable 'République' Zeppelin, etc. La Conq. l'Air, 5e année, No. 18 (sept. 1908), Bruxelles, p. 5. S (1010"
122080,1908,2,"-","Red Wing","Red Wing' (The) American Aeronaut, Vol. 1, No. 5, 1908, St. Louis, pp. 188-189, ill. S (10194"
157830,1899,2,"-","Zeppelin; airship","Zeppelin (The) airship. Aër. Journ., Vol. 3, No. 12, 1899, London, pp. 75-78, ill. S (13194"
1320,1878,2,"-","Aerion; theories; illustrations; references","Aerion (The). Its theories, illustrations and references. St. Louis (S. Spencer, printer), 1878, p. 3, ill. LC (102"
12360,1884,1,"-","aviation","Aviation (L'). La Chron. Ind., T. 7, 1884, Paris, p. 430. (1020"
12370,1904,1,"-","aviation","Aviation. L'Aéronautique, 3e année, No. 9 (avril 1904), Paris, pp. 5-7. S (1021"
12380,1907,1,"-","Aviation","Aviation. L'Aéronautique, 6e année. No. 20 (jan. 1907), Paris, pp. 8-10, ill. S (1022"
12390,1906,1,"-","aviation; Aero-Club de France","Aviation (L') à l'A.-C. d. F. L'Aéronautique, 5e année, No. 18 (juillet 1906), Paris, pp. 151-152, ills. 3. S (1023"
12400,1908,1,"-"," ","Aviation (L') au Concours Lépine. La Nature, 37e année. No. 1856 (19 déc. 1908), Paris, pp. [19-20], ill. S (1024"
12410,1907,1,"-"," ","Aviation Club de France. La Rev. Aviat., 2e année, No. 11 (15 oct. 1907), Paris, pp. 1-2. S (1025"
12420,1908,2,"-"," ","Aviation contests at Spa. Aeronautics, Vol. 1, No. 8, 1908, London, p. 52. S (1026"
12430,1908,2,"-"," ","Aviation in America. Aeronautics, Vol. 1, No. 10, 1908, London, pp. 67-71, ill. S (1027"
12440,1907,1,"-"," ","Aviation. L'aéroplane Farman, Kapférer-Paulhan, Antoinette, etc. L'Aéronautique, 6e année, No. 23 (juillet 1907), Paris, pp. 75-77. S (1028"
12450,1906,1,"-"," ","Aviation. L'aéroplane Santos-Dumont, l'Orthoptère Florencie, etc. L'Aéronautique, 5e année, No. 19 (sept. 1906), Paris, pp. 178-179, ills. 2. S (1029"
123210,1909,1,"-"," ","Rendement (Le) des hélices aériennes. Cosmos, 58e année, N. S., No. 1252 (23 jan. 1909), Paris, pp. 86-87. S (10297"
1330,1909,1,"-"," ","Aéro (L'). Organe hebdomadaire de la locomotion aérienne. Rédacteur en chef-Fafiotte. Rédaction, Paris, 198 Rue de Courcelles. Première Année, Nos. 1-46+ (3 sept. 1908 à 15 juil. 1909+). S (103"
12460,1908,1,"-"," ","Aviation (L'). Les aéroplanes en France à l'étranger et les prix. Goupy, Gasnier, Blériot, Robert Esnault-Pelterie, Santos-Dumont, Detable, Leon Hervieux, Georges et René Hughes, Parseval. L'Aérophile, 16e année, No. 21 (1 nov. 1908), Paris, pp. 434-438, ills. 4. S (1030"
123350,1900,2,"-"," ","Resistance (The) of the air. Scient. Amer. Suppl., Vol. 49, No. 1255 (Jan. 20, 1900), New York, pp. 20116- 20117. S (10309"
12470,1908,1,"-"," ","Aviation. Les étapes de l'aviation. L'Aéronautique, 7e année, No. 30 (nov. 1908), Paris, pp. 73-75. S (1031"
123420,1888,3,"-"," ","Rettung aus dem Meere. Zeitschr. Luftsch., VII Jahrg., 9 Heft, 1888, Berlin, pp. 285. S (10316"
123430,1901,2,"-"," ","Return journeys of the navigable balloon, 'La France.' Aër. Journ., Vol. 5, No. 18, 1901, London, pp. 34-35. S (10317"
123450,1904,1,"-"," ","Reuil-Bayreuth 6-7 oct. 1903. L'Aéronautique, 3e année, No. 8 (jan. 1904), Paris, pp. 10-11. S (10319"
12480,1908,1,"-"," ","Aviation. Les étapes de l'aviation, nouveaux prix, aéroplane Blériot, etc. L'Aéronautique, 7e année, No. 29 (sept. 1908), Paris, pp. 60-63, ills. 2. S (1032"
12490,1863,1,"-"," ","Aviation ou navigation aérienne sans ballons, par de la Landelle. Paris, 1863. (1033"
12500,1907,1,"-"," ","Aviation. Santos-Dumont, Delagrange, etc. L'Aéronautique, 6e année, No. 21 (avril 1907), Paris, pp. 35-36. S (1034"
12510,1908,1,"-"," ","Aviation. Un précurseur. (Un aéroplane de 1843.) Cosmos, 57e année. No. 1246 (12 déc. 1908), Paris, p. 646, ill. S (1035"
123990,1903,3,"Rickmers, W. Rickmer"," ","Rickmers, W. Rickmer. Die Beherrschung der Luft. Wien, 1903, pp. 16. (10359"
12520,1908,2,"-"," ","Aviation world. American Aeronaut, Vol. 1, No. 6 (June 1908), St. Louis, pp. 215-226, ills. 18. S (1036"
12530,1908,3,"-"," ","Aviatische Wettkämpfe in Wien. Wien. Luftsch. Zeit., VII Jahrg., Nr. 7 (Juli 1908), Wien, pp. 146-148. S (1037"
12570,1909,4,"-"," ","Aviazione. Aeroplano Duray-H. Matthys, nuovo biplano Bréguet, monoplano Clément-Bayard,' aeroplano E. Charpentier per la Marina, Brégue Richet 2 bis, règlement des concours et records d'aviation en vigueur pour 1909 premi per l'aviazione. Riv. Techn. Aer. Boll. Soc. Aer. Ital., Anno VI, N. 4 (Apr. 1909), Roma, pp. 141-146, figs. 12, ills. 2. S (1039"
1340,1909,2,"-","Aero; motor-boat; motor; boat; exhibition","Aero (The) and motor-boat exhibition. Nature, Vol. 80, No. 2056 (March 25, 1909), London, pp. 111-112. S (104"
12580,1909,4,"-"," ","Aviazione. Aeroplano Maurice Farman--Neubauer, aero-cycloide Irvine, aeroplano Gulllebeaud, aeroplano Esnault Pelterie 2 bis, etc. Riv. Techn. Aer. Boll. Soc. Aer. Ital., Anno VI, N. 2 (Feb. 1909), Roma, pp. 64-70, ills. 13. S (1040"
12600,1906,4,"-"," ","Aviazione (L') ed il volo degli uccelli. Boll. See. Aer. Ital., Anno III, N. 7-9 (Lugl.-Sett. 1906), Roma, p. 254. S (1042"
12610,1906,4,"-"," ","Aviazione (L') e le scienze naturali. Boll. Soc. Aer. Ital., Anno III, N. 3-4 (Mar., Apr. 1906), Roma, pp. 87-89, figs. 3. S (1043"
124820,1906,4,"-"," ","Robustuzza, elasticità e leggerezza di materiali per apparecchi di aviazione. Boll. Soc. Aer. Ital., Anno III, N. 3-4 (Marzo, Aprile 1906), Roma, pp. 99- 100. S (10430"
12620,1906,4,"-"," ","Aviazione (Per l') in Francia. Boll. Sec. Aer. Ital., Anno III, N. 7-9 (Lugl.-Sett. 1906), Roma, p. 248. S (1044"
12630,1909,4,"-"," ","Aviazione in Italia. Riv. Techn. Aer. Boll. Soc. Aer. Ital., Anno VI, N. 4 (Apr. 1909), Roma, p. 141. S (1045"
12640,1908,4,"-"," ","Aviazione. Wright, Farman, Blériot, Bonnet-Labranche, Santos-Dumont, Koechlin-Pischof, Antoinette, Herring, Esnault-Pelterie, Meschuer, aeroplano militare inglese, un altro aeroplano inglese, Zipfel, Peau Machina volante d'Equevilley, Chappel, Gastambide-Mengin, aeroplano militare francese. Boll. Soc. Aer. Ital., Anno V, N. 11 (Nov. 1908), Roma, pp. 367-373, figs. 2-19. S (1046"
12670,1898,2,"-"," ","Avion' (The). (Flying machine. Scient. Amer., Vol. 79 (Aug. 27, 1898), New York, pp. 137-138. S (1048"
12700,1908,4,"-"," ","Avvenire (L') degli Aeroplani. Suppl. Sport. Boll. Soc. Aer. Ital., Anno V, N. 9 (Sett. 1908), Roma, pp. 6-7. S (1049"
1350,1905,3,"-"," ","Aëro-Automobil-Wettfahrt zu Madrid. Ill. Aër. Mitt., IX Jahrg., 11 Heft (Nov. 1905), Strassburg, p. 371. (105"
12710,1906,4,"-"," ","Avvenire (L') dell' aeronautica. Boll. Soc. Aer. Ital., Anno III, N. 5-6 (Mag., Giu. 1906), Roma, p. 175. S (1050"
125670,1903,2,"-"," ","Rosy views on airship matters. Automobile, Vol. 9 (Dec. 19, 1903), New York, pp. 641-642, ills. 2. (10502"
125690,1902,2,"-"," ","Rotary kites. Aer. World, Vol. 1, No. 2, 1902, Glenville, Ohio, p. 16. S (10503"
125700,1901,2,"-"," ","Rotary kites. Aër. Journ., Vol. 5, No. 20, 1901, London, pp. 60-61. S (10504"
12720,1908,4,"-"," ","Avvento del turismo aereo. Riviste del Touring (Dic. 1908). (1051"
12730,1909,2,"-"," ","Awakening (The) of public opinion. Some views expressed by prominent men and the leading newspapers. Flight, Vol. 1, No. 15 (April 1909), London, pp. 213-214. S (1052"
12740,1908,1,"-"," ","Ax.' Le Pour et le Contre L'Aérophile, 16e année, No. 7 (1 avril 1908), Paris, pp. 124-125, figs. 1-5. S (1053"
12750,1885,2,"-"," ","Ayres' aerial machine. Scient. Amer., Vol. 52, 1885, New York, p. 291. S (1054"
12770,1886,8,"Azevaldo de Arriaga; Costa, F.; Balao; Ballao"," ","Azevaldo (De) de Arriaga e F. Costa, Balão ou Ballão. Ausführicher Artikel über Geschichte und Praxis der Luftschiffahrt in Portugiesischen Sprache. Lisboa, (1885-1886), 4°, pp. 183, ills. 87 (Dicc. Univ.). (1056"
12780,1906,4,"-"," ","Azione degli strati aerei in moto, rispetto all' aeronavigazione. Boll. Soc. Aer. Ital., Anno III, N. 7-9 (Lugl.-Sett. 1906), Roma, pp. 255-256. S (1057"
127230,1894,2,"-"," ","Russia tries a war balloon. Aeronautics, Vol. 1, No. 4 (Jan. 1894), New York, p. 42. S (10631"
127240,1886,3,"-"," ","Russische Ballonfahrt. Zeitschr. Luftsch., V Jahrg., 11 Heft, 1886, Berlin, p. 344. S (10632"
127660,1903,2,"-"," ","Sahara (The) balloon trials. Aeronauts preparing for another attempt. Aer. World, Vol. 1, No. 9, 1903, Glenville, Ohio, pp. 207-208. S (10662"
127670,1903,2,"-"," ","Sahara (The) experiments. Aer. World, Vol. 1, No. 7, 1903, Glenville, Ohio, p. 160. S (10663"
127680,1903,2,"-"," ","Sahara (The) pilot balloon. Aer. World, Vol. 1, No. 8, 1903, Glenville, Ohio, p. 183. S (10664"
1400,1907,2,"-","Aero Club of America; club; ascensions; ascent; balloons","Aero Club ascensions 1907. Amer. Mag. Aeronautics, Vol. 1, No. 4 (Oct. 1907), New York, p. 11. S (107"
1410,1909,2,"-","Aero Club; banquet; Wright brothers","Aero Club banquet to the Wright Brothers. Flight, Vol. 1, No. 19 (May 1909), London, p. 260. S (108"
129860,1902,3,"-"," ","Sauerstoffathmung (Zur) im Ballon. Ill. Aër. Mitt., Nr. 1 (Jan. 1902), Strassburg, p. 25. S (10845"
130210,1901,1,"-"," ","Sauvetage des navires par cerf-volant. L'Aérophile, 9e année, No. 1 (jan. 1901), Paris, pp. 6-7. S (10876"
130540,1886,3,"-"," ","Schiessen (Das) der artillerie gegen gefesselte ballons. 1886, 8º, pp. 8, pl. 1. (10901"
130550,1891,3,"-"," ","Schiessversuche auf einen Ballon. Zeitschr. Luftsch., X Jahrg., 3-4 Heft, 1891, Berlin, p. 98. S (10902"
130560,1890,3,"-"," ","Schiessversuche in Russland. Zeitschr. Luftsch., IX Jahrg., 11 Heft, 1890, Berlin, p. 221. S (10903"
130740,1908,3,"-"," ","Schleifleine (Die) bei Nacht. Wien. Luftsch. Zeit., VII Jahrg., Nr. 2 (Feb. 1908), Wien, pp. 26-27. S (10917"
130970,1909,3,"-"," ","Schlitten (Ein) mit Luftschraube. Wien. Luftsch. Zeit., VIII Jahrg., Nr. 4 (Feb. 1909), Wien, pp. 72-74, ill. 1. S (10940"
131490,1904,3,"-"," ","Schwebearbeit (Die) in der Flugtechnik. Zeitschr. Oest. Ing. Arch. Ver., Band LVI, 1904, Wien, pp. 475-478. (10985"
131510,1902,3,"-"," ","Schwede.' Die Freifahrt des Ballons 'Schwede' am 29 und 30 Juli 1902 Ill. Aër. Mitt., 1902, Strassburg, pp. 165-167. (10986"
131570,1893,3,"-"," ","Schwere Landung in den Alpen bei einer Hochzeitsreise im Luftballon. Zeitschr. Luftsch., XII Jahrg., 11 Heft, 1893, Berlin, pp. 286-287. S (10990"
131610,1880,2,"-"," ","Scientific aerostation. Iron, Vol. 16, 1880, London, p. 307. (10993"
131670,1905,2,"-"," ","Scientific (A) balloon ascent from Berlin. Aër. Journ., Vol. 9, No. 35, 1905, London, pp. 49-51. S (10998"
131680,1898,2,"-"," ","Scientific balloon ascents. Aër. Journ., Vol. 2, No. 7, 1898, London, pp. 65-67. S (10999"
131720,1894,2,"-"," ","Scientific ballooning in Germany. Aeronautics, Vol. 1, No. 4 (Jan. 1894), New York, p. 55. S (11002"
131730,1902,2,"-"," ","Scientific kite flying. Aer. World, Vol. 1, No. 5, 1902, Glenville, Ohio, p. 106. S (11003"
131740,1903,2,"-","scientific; science; kite; flying","Scientific kite flying. Nature, Vol. 68, 1903, London, pp. 154-155. (11004"
131770,1894,2,"-"," ","Scientific problems of the future. The conquest of the air. Contemporary Review, Vol. 65 (March 1894), New York, pp. 362-375. S (11007"
131920,1904,4,"-"," ","Scuole normali aerostieri. Boll. Soc. Aer. Ital., Anno I, N. 5-6 (Nov.-Dic. 1904), Roma, p. 94. S (11018"
131930,1903,2,"-"," ","Sea-Bottom investigation from balloon. Aer. World, Vol. 1, No. 7, 1903, Glenville, Ohio, p. 156. S (11019"
131940,1903,2,"-"," ","Sea Gull flying machine. Aer. World, Vol. 1, No. 7, 1903, Glenville, Ohio, p. 154. S (11020"
132020,1903,2,"-"," ","Secret (The) of aerial navigation. Flying, No. 6 (April 1903), London, p. 264. S (11026"
132050,1883,3,"-"," ","Securius Luftschiffahrten aus 7 jähr. Praxis von ihm selbst erzählt. 1883, 16°, pp. 95. (11029"
132440,1908,2,"-"," ","Sensational news from Russia. American Aeronaut, Vol. 1, No. 6 (June 1908), St. Louis, pp. 243-244, ill. 1. S (11059"
132460,1905,3,"-"," ","Sensationelle (Eine) Leistung. Carton Fährt 27¼ Stunden Allein im 800 Kubikmeter-Ballon. Wien. Luftsch. Zeit., IV Jahrg., Nr. 12 (Dez. 1905), Wien, pp. 237-238, port. 1. S (11061"
